accession
GCA_001435135.1
GCA_001437435.1
GCA_002417945.1
GCA_003482405.1
GCA_009295885.1
GCA_009863985.1
GCA_009864005.1
GCA_013394005.1
GCA_013394025.1
GCA_013394045.1
GCA_013395075.1
GCA_021646485.1
GCA_021646505.1
GCA_021646525.1
GCA_021654115.1
GCA_022483275.1
GCA_022483605.1
GCA_022484205.1
GCA_022484405.1
GCA_022642835.1
GCA_022643345.1
GCA_022645385.1
GCA_022645865.1
GCA_022646605.1
GCA_022646945.1
GCA_022647355.1
GCA_045862745.1
GCA_045862785.1
GCA_048961765.1
GCA_049064545.1
GCA_052922765.1
GCA_934179845.1
GCA_053471565.1
GCA_054657915.1
GCA_965286125.1
GCA_965286245.1
GCA_965286595.1
GCA_965614345.1
GCA_965614355.1
GCA_965614395.1
GCA_965614405.1
GCA_965614415.1
GCA_965638095.1
GCA_965806495.1
GCA_965812195.1
GCA_965815565.1
GCA_977885255.1
